Active-HDL 10.3.3558.6081  2018-08-06 16:00:14

Elaboration top modules:
Verilog Module                Parallel2DSI_tb


----------------------------------------------------------------------------------------------------------
Verilog Module                    | Library     | Info | Compiler Version          | Compilation Options
SLICEb_100                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_101                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_102          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_103          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_104          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_105          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_106                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_107                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_108                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_109                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_110                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_111                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_112                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_113                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_114                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_115                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_116                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_117                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_118                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_119                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_120                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_121                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_122                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_123                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_124                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_125                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_126                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_127                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_en                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
reset_nb                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
EoTp                              | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_31_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_30_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_29_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_28_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_27_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_26_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_25_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_24_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_23_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_22_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_21_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_20_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_19_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_18_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_17_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_16_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_15_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_14_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_13_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_12_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_11_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_10_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_9_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_8_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_7_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_7__MGIOL                  | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_6_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_6__MGIOL                  | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_5_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_5__MGIOL                  | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_4_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_4__MGIOL                  | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_3_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_3__MGIOL                  | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_2_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_2__MGIOL                  | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_1_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_1__MGIOL                  | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_0_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
bytepkt_0__MGIOL                  | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_15_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_15__MGIOL                  | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_14_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_14__MGIOL                  | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_13_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_13__MGIOL                  | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_12_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_12__MGIOL                  | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_11_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_11__MGIOL                  | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_10_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_10__MGIOL                  | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_9_                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_9__MGIOL                   | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_8_                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_8__MGIOL                   | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_7_                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_7__MGIOL                   | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_6_                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_6__MGIOL                   | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_5_                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_5__MGIOL                   | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_4_                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_4__MGIOL                   | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_3_                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_3__MGIOL                   | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_2_                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_2__MGIOL                   | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_1_                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_1__MGIOL                   | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_0_                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_0__MGIOL                   | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
chksum_rdy                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_15_                            | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_15__MGIOL                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_14_                            | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_14__MGIOL                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_13_                            | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_13__MGIOL                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_12_                            | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_12__MGIOL                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_11_                            | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_11__MGIOL                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_10_                            | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_10__MGIOL                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_9_                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_9__MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_8_                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_8__MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_7_                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_7__MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_6_                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_6__MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_5_                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_5__MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_4_                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_4__MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_3_                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_3__MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_2_                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_2__MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_1_                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_1__MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_0_                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
wc_0__MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
dt_5_                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
dt_5__MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
dt_4_                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
dt_4__MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
dt_3_                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
dt_3__MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
dt_2_                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
dt_2__MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
dt_1_                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
dt_1__MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
dt_0_                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
dt_0__MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
vc_1_                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
vc_1__MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
vc_0_                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
vc_0__MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_datab_7_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_datab_6_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_datab_5_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_datab_4_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_datab_3_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_datab_2_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_datab_1_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_datab_0_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_clkb                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
long_en                           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
long_en_MGIOL                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
short_en                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
short_en_MGIOL                    | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
GSR_INSTb                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
vmuxregsreb                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
vccb                              | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
gndb                              | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
ccu2                              | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
CCU2D                             | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
vmuxregsreb0001                   | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
alu2_mult                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
CU2                               | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
alu2_mult0002                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
FADD2B                            | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
alu2_mult0003                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
AGEB2                             | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
vmuxregsreb0004                   | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
ccu20005                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
ccu20006                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
ccu20007                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
ccu20008                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
ccu20009                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
buffer                            | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
ec2dpram                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
DPR16X4C                          | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
ec2dpram0010                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0011                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0012                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0013                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0014                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0015                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0016                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0017                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0018                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0019                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0020                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0021                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0022                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0023                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0024                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0025                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0026                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0027                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0028                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0029                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0030                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0031                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0032                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0033                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0034                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0035                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0036                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0037                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0038                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0039                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0040                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0041                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0042                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0043                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0044                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0045                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0046                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0047                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0048                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0049                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0050                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0051                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0052                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0053                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0054                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0055                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0056                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4b0057                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
xo2iobufb                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
xo2iobufb0058                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
xo2iobufb0059                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
mfflsreb                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
smuxlregsreb                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
IFS1P3BX                          | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
smuxlregsreb0060                  | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
GSR5MODEb                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
oDDRx4                            | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
IO_Controller_TX                  | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
FD1P3BX                           | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
ODDRX4B                           | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
ECLKSYNCA                         | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
CLKDIVC                           | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
----------------------------------------------------------------------------------------------------------

----------------------------------------------------------------------------------------------------------
UDP                               | Library     | Info | Compiler Version          | Compilation Options
----------------------------------------------------------------------------------------------------------
UDFDL7E_UDP_X                     | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
UDFDL5E_UDP_X                     | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
lut_mux4                          | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
----------------------------------------------------------------------------------------------------------

----------------------------------------------------------------------------------------------------------
Library                           | Comment
----------------------------------------------------------------------------------------------------------
ovi_machxo2                       | LATTICE Diamond 3.10, MACHXO2 VERILOG LIBRARY
work                              | None
----------------------------------------------------------------------------------------------------------
