Active-HDL 10.3.3558.6081  2018-08-06 16:00:14

Elaboration top modules:
Verilog Module                Parallel2DSI_tb


----------------------------------------------------------------------------------------------------------
Verilog Module                    | Library     | Info | Compiler Version          | Compilation Options
xo2iobuf0004                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
IBPD                              | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
GSR5MODEa                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
INV                               | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
SLICE_1                           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICE_2                           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICE_3                           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICE_4                           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICE_5                           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICE_6                           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICE_7                           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICE_8                           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICE_9                           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICE_10                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICE_11                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICE_12                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICE_13                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICE_14                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICE_15                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICE_16                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_en                           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
